PlayerPos,ObstacleXPos,CoinXPos
476.4,558,477
445.2,377,256
255.6,377,256
345.6,342,575
552,342,575
560.4,595,561
561,595,561
327.6,595,328
427.2,290,579
579,290,579
330.6,275,240
240,275,240
472.8,275,473
455.4,520,351
351,520,351
372.6,402,373
372.6,402,373
623.4,535,624
624,535,624
505.8,535,506
427.8,205,371
370.8,205,371
424.2,324,424
423.6,324,424
621,565,621
620.4,565,621
544.2,565,547
415.8,573,208
208.2,573,208
470.4,576,583
566.4,576,583
204.6,576,179
233.4,453,320
319.8,453,320
333.6,450,334
376.2,394,376
375.6,394,376
576.6,621,577
577.2,621,577
301.8,621,302
281.4,318,281
280.8,318,281
379.2,338,379
378.6,338,379
387.6,338,388
499.2,605,501
500.4,605,501
473.4,225,473
472.8,225,473
268.8,582,233
251.4,582,463
462.6,582,463
292.2,594,239
239.4,594,239
384,349,384
383.4,349,384
308.4,349,318
308.4,293,527
526.8,293,527
495,549,495
494.4,549,495
510,549,532
475.8,561,256
255.6,561,256
463.2,346,520
520.2,346,520
382.8,392,193
282,392,444
444,392,444
500.4,203,501
501,203,501
416.4,525,417
416.4,525,417
622.8,261,623
622.8,261,623
294,261,408
382.8,371,408
408,371,408
402.6,227,234
253.2,227,234
261,227,261
268.2,485,587
587.4,485,587
515.4,281,350
350.4,281,350
310.2,611,289
289.2,611,289
577.8,611,578
499.2,573,404
404.4,573,404
306,243,306
306,243,306
357.6,271,358
358.2,271,358
372.6,271,372
321.6,299,321
321.6,299,321
433.2,559,433
433.2,559,433
495.6,559,496
441.6,595,357
357.6,595,357
549.6,565,625
624.6,565,625
609.6,516,610
609.6,516,610
340.8,516,341
238.2,416,230
229.8,416,230
210,413,210
210.6,413,210
282,363,282
312.6,362,355
355.2,362,355
419.4,252,419
418.8,252,419
198.6,252,198
204.6,555,428
428.4,555,428
507.6,296,614
597,296,614
342.6,296,394
376.8,319,394
394.2,319,394
479.4,301,479
479.4,301,479
608.4,577,609
609,577,609
263.4,577,263
431.4,599,593
593.4,599,593
306,545,306
306.6,545,306
464.4,545,465
492,588,492
492,588,492
484.2,359,484
483.6,359,484
320.4,359,332
319.8,468,410
410.4,468,410
402,496,402
401.4,496,402
434.4,588,435
434.4,588,435
333.6,588,333
282,473,282
282,473,282
438,347,559
541.2,347,559
516,347,516
456,517,384
383.4,517,384
391.2,215,391
390.6,215,391
526.2,454,526
525.6,454,526
423,454,373
372.6,351,373
381,351,373
381,358,304
304.2,358,304
184.2,228,184
184.2,228,184
282,228,282
375.6,280,376
375.6,280,376
459.6,304,460
460.2,304,460
198,304,198
259.2,488,431
