PlayerPos,ObstacleXPos,ObstacleY,CoinXPos,CoinYPos,ObstacleNear
565.2,354,850.8,565,193,1
564.6,551,373.2,565,723,0
589.8,551,450,562,46,0
590.4,551,550,562,171,0
590.4,551,850.8,562,546,1
561.6,457,90.8,562,723,0
619.8,457,450,620,399,0
620.4,457,550,620,524,0
619.8,457,709.2,620,723,1
519.6,457,850.8,520,126,1
555,517,450,520,752,0
555,517,528.4,520,850,0
554.4,517,550,537,-23,0
554.4,517,850.8,537,352,1
536.4,262,246,537,723,0
520.2,262,450,520,205,0
519.6,262,550,520,330,0
519.6,262,850.8,520,705,1
520.2,383,-36.4,520,723,0
453,383,450,453,558,0
452.4,383,550,453,683,0
452.4,383,582,453,723,0
476.4,383,850.8,477,285,1
477,501,299.6,477,723,0
462.6,501,450,471,138,0
463.2,501,550,471,263,0
463.2,501,850.8,471,638,1
470.4,541,17.2,471,723,0
393,541,450,393,491,0
392.4,541,550,393,616,0
393,541,635.6,393,723,1
502.8,541,850.8,568,218,1
567.6,441,353.2,568,723,0
591,441,450,591,71,0
590.4,441,550,591,196,0
590.4,441,850.8,591,571,1
591,493,70.8,591,723,0
306.6,493,450,204,424,0
231.6,493,550,204,549,0
204,493,689.2,204,723,1
208.8,493,850.8,209,151,1
209.4,483,406.8,209,723,0
241.8,483,450,602,4,0
316.8,483,550,602,129,0
445.2,483,850.8,602,504,1
581.4,534,131.6,602,732,0
485.4,534,450,486,348,0
486,534,550,486,473,0
486,534,750,486,723,1
410.4,534,850.8,188,75,1
187.8,301,450,188,701,0
187.8,301,467.6,188,723,0
249.6,301,550,550,53,0
262.8,301,850.8,550,428,1
515.4,560,286.8,550,850,0
393,560,450,295,154,0
318,560,550,295,279,0
295.2,560,850.8,295,654,1
295.2,606,4.4,295,723,0
475.8,606,450,476,507,0
476.4,606,550,476,632,0
475.8,606,622.8,476,723,1
451.2,606,850.8,451,234,1
451.2,537,340.4,451,723,0
369,537,450,279,87,0
294,537,550,279,212,0
279.6,537,850.8,279,587,1
279,315,58,279,723,0
573,315,450,588,440,0
588,315,550,588,565,0
588,315,676.4,588,723,1
457.2,315,850.8,382,167,1
382.2,298,394,382,723,0
424.2,298,450,569,20,0
499.2,298,550,569,145,0
568.8,298,850.8,569,520,1
568.8,588,111.6,569,723,0
385.8,588,450,386,373,0
386.4,588,550,386,498,0
385.8,588,730,386,723,1
295.2,588,850.8,231,100,1
231.6,275,447.6,231,723,0
233.4,275,450,367,-47,0
237.6,275,550,367,78,0
237.6,275,850.8,367,453,1
366.6,435,165.2,367,723,0
180.6,435,450,181,306,0
181.2,435,550,181,431,0
181.2,435,783.6,181,723,1
231.6,435,850.8,306,33,1
306.6,188,450,306,659,0
306.6,188,501.2,306,723,0
343.2,188,550,457,11,0
457.2,188,850.8,457,386,1
457.2,216,218.8,457,723,0
402.6,216,450,403,239,0
403.2,216,550,403,364,0
402.6,216,837.2,403,723,1
412.8,216,850.8,460,-34,1
460.2,221,450,460,592,0
459.6,221,550,460,717,0
459.6,221,554.8,460,723,0
392.4,221,850.8,392,319,1
391.8,405,272.4,392,723,0
317.4,405,450,317,172,0
316.8,405,550,317,297,0
316.8,405,850.8,317,672,1
316.8,183,-10,317,723,0
246.6,183,450,246,525,0
246,183,550,246,650,0
246.6,183,608.4,246,723,1
421.2,183,850.8,421,252,1
421.2,509,326,421,723,0
473.4,509,450,511,105,0
474,509,550,511,230,0
474,509,850.8,511,605,1
510.6,323,43.6,511,723,0
288.6,323,450,311,458,0
288,323,550,311,583,0
288.6,323,670.8,311,734,1
288,323,850.8,352,174,1
351.6,490,388.4,352,723,0
341.4,490,450,341,27,0
340.8,490,550,341,152,0
340.8,490,850.8,341,527,1
341.4,563,106,341,723,0
411,563,450,411,380,0
410.4,563,550,411,505,0
